value,adsh,fp,fy
3096491000,0001193125-19-256047,FY,2019
4038048,0001683168-19-003062,FY,2019
6804169,0001683168-19-003062,FY,2019
NULL,0001213900-19-019134,FY,2019
NULL,0001213900-19-019134,FY,2019
1562000,0001437749-19-019176,FY,2019
1904000,0001437749-19-019176,FY,2019
1924000,0001437749-19-019176,FY,2019
1924000,0001437749-19-019176,FY,2019
1211000,0001437749-19-019176,FY,2019
1536000,0001437749-19-019176,FY,2019
1573000,0001437749-19-019176,FY,2019
1603000,0001437749-19-019176,FY,2019
NULL,0001520138-19-000336,FY,2019
NULL,0001520138-19-000336,FY,2019
NULL,0001477932-19-005535,FY,2019
NULL,0001477932-19-005535,FY,2019
1870164,0001477932-19-005555,FY,2018
1719168,0001477932-19-005555,FY,2018
3660120,0001654954-19-011147,FY,2019
7320357,0001654954-19-011147,FY,2019
0,0001553350-19-001013,FY,2019
0,0001553350-19-001013,FY,2019
0,0001553350-19-001013,FY,2019
31220040,0001213900-19-019170,FY,2019
43897618,0001213900-19-019170,FY,2019
23064563,0001213900-19-019293,FY,2019
41771047,0001213900-19-019293,FY,2019
6422807,0001214659-19-006106,FY,2019
12348492,0001214659-19-006106,FY,2019
30065833,0001683168-19-003101,FY,2019
36468900,0001683168-19-003101,FY,2019
78036586,0000355019-19-000036,FY,2019
81515994,0000355019-19-000036,FY,2019
87192887,0000355019-19-000036,FY,2019
4020274,0001437749-19-019252,FY,2019
4191188,0001437749-19-019252,FY,2019
5917,0001640334-19-001944,FY,2019
NULL,0001640334-19-001944,FY,2019
306407,0001477932-19-005609,FY,2019
279143,0001477932-19-005609,FY,2019
104039,0001213900-19-019314,FY,2019
161781,0001213900-19-019314,FY,2019
0,0001445866-19-001184,FY,2019
0,0001445866-19-001184,FY,2019
51534,0001640334-19-001932,FY,2019
NULL,0001640334-19-001932,FY,2019
NULL,0001477932-19-005611,FY,2019
NULL,0001477932-19-005611,FY,2019
NULL,0001213900-19-019234,FY,2019
NULL,0001213900-19-019234,FY,2019
16624336,0001091818-19-000239,FY,2019
43493589,0001091818-19-000239,FY,2019
105638,0001640334-19-001929,FY,2019
49997,0001640334-19-001929,FY,2019
509533000,0001528396-19-000032,FY,2019
652849000,0001528396-19-000032,FY,2019
719514000,0001528396-19-000032,FY,2019
NULL,0001213900-19-019309,FY,2019
NULL,0001213900-19-019309,FY,2019
419168000,0000900075-19-000022,FY,2019
459106000,0000900075-19-000022,FY,2019
478198000,0000900075-19-000022,FY,2019
449223000,0000900075-19-000022,FY,2019
461368000,0000900075-19-000022,FY,2019
484898000,0000900075-19-000022,FY,2019
553116000,0000900075-19-000022,FY,2019
542575000,0000900075-19-000022,FY,2019
NULL,0001731122-19-000575,FY,2019
NULL,0001731122-19-000575,FY,2019
28710589,0001437749-19-019251,FY,2019
26948623,0001437749-19-019251,FY,2019
NULL,0001213900-19-019289,FY,2019
NULL,0001213900-19-019289,FY,2019
14920,0001213900-19-019289,FY,2019
3590217,0001213900-19-016094,FY,2019
4278729,0001213900-19-016094,FY,2019
2757229,0001213900-19-016094,FY,2019
224920,0001213900-19-015953,FY,2019
121618,0001213900-19-015953,FY,2019
923158,0001213900-19-015953,FY,2019
5172688,0001213900-19-016065,FY,2019
5967896,0001213900-19-016065,FY,2019
5358023,0001213900-19-016065,FY,2019
18952000,0001079973-19-000480,FY,2019
11523000,0001079973-19-000480,FY,2019
9992000,0001079973-19-000480,FY,2019
4881523,0001213900-19-016026,FY,2019
7019243,0001213900-19-016026,FY,2019
7012026,0001213900-19-016026,FY,2019
0,0001654954-19-009689,FY,2020
0,0001654954-19-009689,FY,2020
0,0001654954-19-009689,FY,2020
0,0001654954-19-009689,FY,2020
0,0001654954-19-009689,FY,2020
0,0001654954-19-009689,FY,2020
467548000,0001628280-19-010867,FY,2018
183899000,0001628280-19-010867,FY,2018
184456000,0001628280-19-010867,FY,2018
182798000,0001628280-19-010867,FY,2018
214542000,0001628280-19-010867,FY,2018
765695000,0001628280-19-010867,FY,2018
